word,wording,model,temperature,feature,k,n,rate,ci_lo,ci_hi
glummble,W1,gpt-5.4-mini,0.0,object_collecting,16,30,0.533,0.361,0.698
glummble,W1,gpt-5.4-mini,0.0,mood_color,16,30,0.533,0.361,0.698
glummble,W1,gpt-5.4-mini,0.0,waddle_gait,14,30,0.467,0.302,0.639
glummble,W1,gpt-5.4-mini,0.0,shy_gentle,28,30,0.933,0.787,0.982
glummble,W1,gpt-5.4-mini,0.0,curious,29,30,0.967,0.833,0.994
glummble,W1,gpt-5.4-mini,0.0,name_from_sound,2,30,0.067,0.018,0.213
glummble,W1,gpt-5.4-mini,1.0,round_body,48,50,0.960,0.865,0.989
glummble,W1,gpt-5.4-mini,1.0,soft_texture,50,50,1.000,0.929,1.000
glummble,W1,gpt-5.4-mini,1.0,lavender_purple,22,50,0.440,0.312,0.577
glummble,W1,gpt-5.4-mini,1.0,six_legs,2,50,0.040,0.011,0.135
glummble,W1,gpt-5.4-mini,1.0,humming_vocal,26,50,0.520,0.385,0.652
